empresa,ano,retorno_anual,ceo,chairman,ibrx,industria
BRKM5,2015,0.66,0,0,1,
BRKM5,2016,0.32,0,0,1,
BRKM5,2017,0.28,0,0,1,
BRKM5,2018,0.15,0,0,1,
BRKM5,2019,-0.35,0,0,1,
BRFS3,2009,0.53,0,0,1,
BRFS3,2010,0.22,0,0,1,
BRFS3,2011,0.36,0,0,1,
BRFS3,2012,0.18,0,0,1,
BRFS3,2013,0.18,0,0,1,
BRFS3,2014,0.31,0,0,1,
BRFS3,2015,-0.11,0,0,1,
BRFS3,2016,-0.14,0,0,1,
BRFS3,2017,-0.23,0,0,1,
BRFS3,2018,-0.4,0,0,1,
BRFS3,2019,0.61,0,0,1,
BISA3,2009,2.34,0,0,1,
BISA3,2010,0.12,0,0,1,
BISA3,2011,-0.41,0,0,1,
BISA3,2012,-0.25,0,0,1,
BISA3,2013,-0.66,0,0,1,
CCRO3,2009,0.78,0,0,1,
CCRO3,2010,0.23,0,0,1,
CCRO3,2011,0.09,0,0,1,
CCRO3,2012,0.65,0,0,1,
CCRO3,2013,-0.05,0,0,1,
CCRO3,2014,-0.09,0,0,1,
CCRO3,2015,-0.15,0,0,1,
CCRO3,2016,0.3,0,0,1,
CCRO3,2017,0.08,0,0,1,
CCRO3,2018,-0.27,0,0,1,
CCRO3,2019,0.78,0,0,1,
CCXC3,2012,NA,0,0,1,
CLSC4,2009,0.07,0,0,1,
CTIP3,2010,0.69,0,0,1,
CTIP3,2011,0.18,0,0,1,
CTIP3,2012,-0.04,0,0,1,
CTIP3,2013,-0.02,0,0,1,
CTIP3,2014,0.41,0,0,1,
CTIP3,2015,0.22,0,0,1,
CTIP3,2016,0.25,0,0,1,
LCAM3,2019,0.85,1,0,1,
TRPL4,2009,0.35,0,0,1,
TRPL4,2010,0.18,0,0,1,
TRPL4,2011,0.19,0,0,1,
TRPL4,2012,-0.39,0,0,1,
TRPL4,2013,-0.14,0,0,1,
TRPL4,2015,0.16,0,0,1,
TRPL4,2016,0.47,0,0,1,
TRPL4,2017,0.09,0,0,1,
TRPL4,2018,0.24,0,0,1,
TRPL4,2019,0.39,0,0,1,
HGTX3,2011,0.26,0,0,1,
HGTX3,2012,0.32,0,0,1,
HGTX3,2013,-0.26,0,0,1,
HGTX3,2014,-0.3,0,0,1,
HGTX3,2015,-0.21,0,0,1,
HGTX3,2016,0.07,0,0,1,
HGTX3,2017,0.81,0,0,1,
HGTX3,2018,0.18,0,0,1,
HGTX3,2019,0.2,0,0,1,
AMBV3,2009,0.82,0,0,1,
AMBV3,2012,0.61,0,0,1,
CGAS5,2009,0.11,0,0,1,
CSMG3,2009,0.88,0,0,1,
CSMG3,2010,-0.07,0,0,1,
CSMG3,2011,0.23,0,0,1,
CSMG3,2012,0.33,0,0,1,
CSMG3,2013,-0.12,0,0,1,
CSMG3,2015,-0.38,0,0,1,
CSMG3,2017,0.27,0,0,1,
CSMG3,2018,0.55,0,0,1,
CSMG3,2019,0.14,0,0,1,
SAPR11,2017,-0.02,0,0,1,
SAPR11,2018,0.09,0,0,1,
SAPR11,2019,0.75,0,0,1,
CMIG4,2009,0.31,0,0,1,
CMIG4,2010,0.02,0,0,1,
CMIG4,2011,0.36,0,0,1,
CMIG4,2012,0.06,0,0,1,
CMIG4,2013,0,0,0,1,
CMIG4,2014,0.16,0,0,1,
CMIG4,2015,-0.52,0,0,1,
CMIG4,2016,0.4,0,0,1,
CMIG4,2017,-0.03,0,0,1,
CMIG4,2018,1.17,0,0,1,
CMIG4,2019,0.05,0,0,1,
CESP6,2009,0.62,0,0,1,
CESP6,2010,0.14,0,0,1,
CESP6,2011,0.25,0,0,1,
CESP6,2012,-0.39,0,0,1,
CESP6,2013,0.24,0,0,1,
CESP6,2014,0.34,0,0,1,
CESP6,2015,-0.37,0,0,1,
CESP6,2016,0.04,0,0,1,
CESP6,2017,0.01,0,0,1,
CESP6,2018,0.66,0,0,1,
CESP6,2019,0.52,0,0,1,
CPLE6,2009,0.63,0,0,1,
CPLE6,2010,0.14,0,0,1,
CPLE6,2011,-0.02,0,0,1,
CPLE6,2012,-0.17,0,0,1,
CPLE6,2013,0.03,0,0,1,
CPLE6,2014,0.26,0,0,1,
CPLE6,2015,-0.3,0,0,1,
CPLE6,2016,0.21,0,0,1,
CPLE6,2017,-0.01,0,0,1,
CPLE6,2018,0.33,0,0,1,
CPLE6,2019,1.37,0,0,1,
CSNA3,2009,1.08,0,0,1,
CSNA3,2010,-0.02,0,0,1,
CSNA3,2011,-0.41,0,0,1,
CSNA3,2012,-0.15,0,0,1,
CSNA3,2013,0.34,0,0,1,
CSNA3,2014,-0.6,0,0,1,
CSNA3,2015,-0.23,0,0,1,
CSNA3,2016,1.58,0,0,1,
CSNA3,2017,-0.23,0,0,1,
CSNA3,2018,0.05,0,0,1,
CSNA3,2019,0.71,0,0,1,
CIEL3,2010,-0.06,0,0,1,
CIEL3,2011,0.54,0,0,1,
CIEL3,2012,0.49,0,0,1,
CIEL3,2013,0.44,0,0,1,
CIEL3,2014,0.31,0,0,1,
CIEL3,2015,-0.01,0,0,1,
CIEL3,2016,0,0,0,1,
CIEL3,2017,0.06,0,0,1,
CIEL3,2018,-0.58,0,0,1,
CIEL3,2019,-0.01,0,0,1,
COGN3,2013,0.73,0,1,1,
COGN3,2014,0.64,0,1,1,
COGN3,2015,-0.38,0,0,1,
COGN3,2016,0.38,0,0,1,
COGN3,2017,0.42,0,0,1,
COGN3,2018,-0.5,0,1,1,
COGN3,2019,0.3,0,1,1,
CNFB4,2009,0.67,0,0,1,
CNFB4,2010,0.26,0,0,1,
CNFB4,2011,-0.3,0,0,1,
TEND3,2009,3.74,0,0,1,
TEND3,2019,0.93,0,0,1,
RLOG3,2014,-0.2,0,1,1,
RLOG3,2015,-0.62,0,1,1,
CSAN3,2009,1.28,1,1,1,
CSAN3,2010,0.1,0,1,1,
CSAN3,2011,-0.01,0,1,1,
CSAN3,2012,0.58,0,1,1,
CSAN3,2013,-0.04,0,1,1,
CSAN3,2014,-0.17,0,1,1,
CSAN3,2015,-0.1,0,1,1,
CSAN3,2016,0.61,0,1,1,
CSAN3,2017,0.13,0,1,1,
CSAN3,2018,-0.17,0,1,1,
CSAN3,2019,1.13,0,1,1,
CPFE3,2009,0.27,0,0,1,
CPFE3,2010,0.26,0,0,1,
CPFE3,2011,0.34,0,0,1,
CPFE3,2012,-0.13,0,0,1,
CPFE3,2013,-0.07,0,0,1,
CPFE3,2014,0.02,0,0,1,
CPFE3,2015,-0.15,0,0,1,
CPFE3,2016,0.73,0,0,1,
CPFE3,2017,-0.22,0,0,1,
CPFE3,2019,0.25,0,0,1,
CVCB3,2016,0.89,0,1,1,
CVCB3,2017,1.12,0,1,1,
CVCB3,2018,0.27,0,1,1,
CVCB3,2019,-0.28,0,0,1,
CYRE3,2009,1.7,1,1,1,
CYRE3,2010,-0.09,1,1,1,
CYRE3,2011,-0.29,1,1,1,
CYRE3,2012,0.23,1,1,1,
CYRE3,2013,-0.17,1,1,1,
CYRE3,2014,-0.21,0,1,1,
CYRE3,2015,-0.3,0,1,1,
CYRE3,2016,0.43,0,1,1,
CYRE3,2017,0.29,0,1,1,
CYRE3,2018,0.27,0,1,1,
CYRE3,2019,1.06,0,1,1,
DASA3,2009,1.55,0,1,1,
DASA3,2010,0.59,0,0,1,
DASA3,2011,-0.3,0,0,1,
DASA3,2012,-0.15,0,0,1,
DASA3,2013,0.11,0,0,1,
RADL3,2012,0.8,0,0,1,
RADL3,2013,-0.36,0,0,1,
RADL3,2014,0.73,0,0,1,
RADL3,2015,0.42,0,0,1,
RADL3,2016,0.71,0,0,1,
RADL3,2017,0.54,0,0,1,
RADL3,2018,-0.37,0,0,1,
RADL3,2019,0.97,0,0,1,
DTEX3,2009,3.34,0,0,1,
DTEX3,2010,0.12,0,0,1,
DTEX3,2011,-0.37,0,0,1,
DTEX3,2012,0.73,0,0,1,
DTEX3,2013,0,0,0,1,
DTEX3,2014,-0.31,0,0,1,
DTEX3,2015,-0.22,0,0,1,
DTEX3,2016,0.16,0,0,1,
DTEX3,2017,0.42,0,0,1,
DTEX3,2018,0.38,0,0,1,
DTEX3,2019,0.45,0,0,1,
ECOR3,2011,0.13,0,0,1,
ECOR3,2012,0.32,0,0,1,
ECOR3,2013,-0.1,0,0,1,
ECOR3,2014,-0.19,0,0,1,
