"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.681507730857468,0.0461638692485638,857,14.7627948426067,4.11153097872187e-44
"factor(ceo_chair)1",0.152075746590348,0.0431882589060887,857,3.52122892754327,0.000452220413039782
"ano_adj",-0.293356332757405,0.0210744900807208,857,-13.9199729926453,7.36627408639774e-40
"I(ano_adj^2)",0.0285677337581825,0.00202365474222058,857,14.1169010514287,7.71024922760332e-41
