"empresa","ano","retorno_anual","ceo","chairman","ibrx","ceo_chair"
"ARZZ3",2014,NA,0,0,0,0
"ARZZ3",2015,NA,0,0,0,0
"ARZZ3",2016,NA,0,0,0,0
"ARZZ3",2017,NA,0,0,0,0
"ARZZ3",2018,0.03,0,0,1,0
"ARZZ3",2019,NA,0,0,0,0
"ARTR3",2009,NA,0,0,0,0
"ARTR3",2010,NA,0,0,0,0
"ARTR3",2011,NA,0,0,0,0
"ARTR3",2012,0.63,0,0,1,0
"ARTR3",2013,0.03,0,0,1,0
"ARTR3",2014,-0.33,0,0,1,0
"ARTR3",2015,NA,0,0,0,0
"ARTR3",2016,NA,0,0,0,0
"ARTR3",2017,NA,0,0,0,0
"ARTR3",2018,NA,0,0,0,0
"ARTR3",2019,NA,0,0,0,0
"CRFB3",2009,NA,0,0,0,0
"CRFB3",2010,NA,0,0,0,0
"CRFB3",2011,NA,0,0,0,0
"CRFB3",2012,NA,0,0,0,0
"CRFB3",2013,NA,0,0,0,0
"CRFB3",2014,NA,0,0,0,0
"CRFB3",2015,NA,0,0,0,0
"CRFB3",2016,NA,0,0,0,0
"CRFB3",2017,NA,0,0,0,0
"CRFB3",2018,0.21,0,0,1,0
"CRFB3",2019,0.31,0,0,1,0
"AZUL4",2009,NA,0,1,0,1
"AZUL4",2010,NA,0,1,0,1
"AZUL4",2011,NA,0,1,0,1
"AZUL4",2012,NA,0,1,0,1
"AZUL4",2013,NA,0,1,0,1
"AZUL4",2014,NA,0,1,0,1
"AZUL4",2015,NA,0,1,0,1
"AZUL4",2016,NA,0,1,0,1
"AZUL4",2017,NA,0,1,0,1
"AZUL4",2018,0.34,0,1,1,1
"AZUL4",2019,0.62,0,1,1,1
"BTOW3",2009,1.02,0,0,1,0
"BTOW3",2010,-0.34,0,0,1,0
"BTOW3",2011,-0.71,0,0,1,0
"BTOW3",2012,0.9,0,0,1,0
"BTOW3",2013,-0.1,0,0,1,0
"BTOW3",2014,0.63,0,0,1,0
"BTOW3",2015,-0.32,0,0,1,0
"BTOW3",2016,-0.33,0,0,1,0
"BTOW3",2017,1.07,0,0,1,0
"BTOW3",2018,1.05,0,0,1,0
"BTOW3",2019,0.51,0,0,1,0
"BBDC4",2009,0.65,0,0,1,0
"BBDC4",2010,0.12,0,0,1,0
