"ceo_chair","stat","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
0,"n",74,76,73,70,71,74,72,74,73,75,76
0,"mean",0.953513513513514,0.0814473684210526,-0.0504109589041096,0.171014492753623,-0.0295774647887324,-0.0147297297297297,-0.101527777777778,0.410540540540541,0.328082191780822,0.1604,0.472236842105263
0,"sd",0.756155438888122,0.269348368956727,0.346034834294036,0.355619364123795,0.280583252833493,0.343591916967506,0.366174205144631,0.594614856105256,0.358157544223235,0.370519868526605,0.465479247469274
1,"n",17,19,20,25,23,20,20,21,21,21,19
1,"mean",2.08,0.0622222222222222,-0.1885,0.3136,-0.0995652173913043,-0.0875,-0.2735,0.643333333333333,0.773809523809524,0.0757142857142857,0.857368421052632
1,"sd",1.30456889430953,0.264920755200395,0.223683869968781,0.426750122046458,0.306734683412074,0.315008354108101,0.315115267130851,1.04415196850522,1.10463331558702,0.439710944014036,0.563055573586985
2,"n",91,95,93,95,94,94,92,95,94,96,95
2,"mean",1.16395604395604,0.0777659574468085,-0.0801075268817204,0.208936170212766,-0.0467021276595745,-0.0302127659574468,-0.138913043478261,0.462,0.427659574468085,0.141875,0.549263157894737
2,"sd",0.980431740635929,0.267196332532776,0.327561791793137,0.378785461692336,0.287104148417321,0.337396670676616,0.361156434772314,0.718315997552905,0.629731852017173,0.385850564201657,0.507512167562477
